No.;Sentimen;Tweet
16;Positif;b'RT @Joane24641240: IKN Akan Jadi Representasi Bangsa Yang Unggul\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\n#IKNt\xe2\x80\xa6'
17;Negatif;b'RT @guzel_amare: ya iyalah ... twitter mah sudah kliatan , nah IKN visi misi nya saja investor blm tahu ... mau bp sbg markreting pun , klo\xe2\x80\xa6'
18;Positif;b'@Joane24641240 IKN akan jadi kota ber-kelas internasional!'
19;Positif;b'RT @Joane24641240: IKN Akan Jadi Representasi Bangsa Yang Unggul\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\n#IKNt\xe2\x80\xa6'
20;Negatif;b'RT @keuangannews_id: IKN- Presiden Sudah Berada di Jalan Buntu! https://t.co/gejEF0zanh'
21;Negatif;b'@CNNIndonesia Pada ngebet pindah IKN para pejabat ..silahkan aja pakai uang hasil korupsi kalo ditindak serius pasti bisa'
22;Positif;b'Mendukung dan mengawal terus pemindahan ibukota di IKN Nusantara\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/mBUaf1s4w2'
23;Negatif;b'RT @Kimi58486332: IKN lebih penting dari entaskan Kemiskinan mas Joko @jokowi  ? Menggenaskan masse https://t.co/X6quciisrJ'
24;Positif;b'RT @Opposih6890bio: @BergetarNusa @maryshelparaiso Arek Jawa Timur sama2 dukung pembangunan IKN Nusantara #KotaDuniaUntukSemua #IKNSejahter\xe2\x80\xa6'
25;Positif;b'IKN Nusantara berkonsep ramah lingkungan\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/EthxVw7Usl'
26;Positif;b'Pembangunan ibukota IKN Nusantara dilaksanakan secara bertahap\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/8NYieauxKl'
27;Positif;b'Dukung MPR RI keluarkan ketetapan tentang IKN Nusantara\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/CyET54i5m5'
28;Positif;b'Berikut adalah tiga manfaat besar IKN Nusantara untuk perekonomian Indonesia\n\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/7afd6r0kMd'
29;Positif;b'Pembangunan IKN nusantara dapat memberikan dampak Positifuntuk Indonesia \n\xe2\x9d\xa4\xef\xb8\x8f Aceh Hadir Mendukung\xe2\x80\xa6 https://t.co/gGptWS7ff5'
30;Positif;b'Pemerintah targetkan IKN Nusantara dihuni 200.000 orang pada 2024\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/lcgM45Io9b'
31;Positif;b'Presiden Jokowi meluncurkan Jagat Nusantara, metaverse di IKN\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/yfLZBHKDIz'
32;Positif;b'@Joane24641240 Pembangunan IKN nusantara dapat memberikan dampak Positifuntuk Indonesia \n\xe2\x9d\xa4\xef\xb8\x8f Aceh Hadir Mendukung\xe2\x80\xa6 https://t.co/iYN7zErxSH'
33;Positif;b'Pembangunan IKN Nusantara berkonsep Green City\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/sEGWOLrjuz'
34;Negatif;b'@teguhsd IKN... Ih Ko Ngeyel'
35;Negatif;b'@msaid_didu Gimana ngitungnya 200 rb warga mau tinggal di IKN... Ngimpi kok keterlaluan'
36;Negatif;b'RT @RagilSemar: Diawali dari konsep pendanaan IKN yang menjadikan pemerintah sebagai penyewa di sana. \nTentu ini akal2an oligarki.\nOligarki\xe2\x80\xa6'
37;Positif;b'@BergetarNusa @maryshelparaiso Membuka lapangan kerja baru masyarakat Jawa Timur mendukung IKN Nusantara\xe2\x80\xa6 https://t.co/ihe6prGiOz'
38;Positif;b'IKN untuk kesejahteraan rakyat\n\xe2\x9d\xa4\xef\xb8\x8f Aceh Hadir Mendukung\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/8jOC37Bkyr'
39;Positif;b'@Joane24641240 IKN untuk kesejahteraan rakyat\n\xe2\x9d\xa4\xef\xb8\x8f Aceh Hadir Mendukung\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/GoP2eUOSWK'
40;Negatif;b'@OposisiCerdas Lebih baik utk gubernur ikn'
41;Positif;b'RT @FGelael: @maryshelparaiso dibangunnya IKN Nusantara di dukung semua elemen masyarakat di Jawa Timur, IKN akan membawa Indonesia semakin\xe2\x80\xa6'
42;Positif;b'DAMRI Hadirkan Rute Balikpapan-IKN, Tarifnya Rp 43.000 https://t.co/ioMsX7fY7B'
43;Positif;b'@maryshelparaiso Saya wong asli Jawa Timur juga selalu mendukung pembangunan IKN pak #KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/pnwJ89MEGf'
44;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
45;Negatif;b'RT @alfajri221810: Lebih untung INVEST Twitter dari IKN \xf0\x9f\x98\x82 https://t.co/gizKAkU67Q'
46;Positif;b'RT @ourlittleboyz: @FGelael @maryshelparaiso Dibangunnya IKN Nusantara di dukung semua elemen masyarakat di Jawa Timur #KotaDuniaUntukSemua\xe2\x80\xa6'
47;Positif;b'@FGelael @maryshelparaiso Dibangunnya IKN Nusantara di dukung semua elemen masyarakat di Jawa Timur\xe2\x80\xa6 https://t.co/2eNFniP1ux'
48;Positif;b'@WagimanDeep212_ @jokowi Sdh bener dibangun IKN'
49;Positif;b'RT @FGelael: @maryshelparaiso dibangunnya IKN Nusantara di dukung semua elemen masyarakat di Jawa Timur, IKN akan membawa Indonesia semakin\xe2\x80\xa6'
50;Negatif;b'RT @IrmansyahAdhy: DULU JUALAN ESEMKA..SKRG JUALAN IKN...\nSEBENARX CEBONG ITU KEMARIN PILIH PRESIDEN ATAU MAKELAR SIH..? \xf0\x9f\xa4\x94....\n\n#JokowiAnte\xe2\x80\xa6'
51;Positif;b'@FGelael @maryshelparaiso IKN smart city siap bersaing, Jawa Timur dukung terus #KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/eU7YeVAhvv'
52;Negatif;b'RT @DokterTifa: Sudah tahu akan ada Badai Besar. Dunia akan gelap. Resesi dahsyat. Rawan pangan hebat. \n\nKenapa masih ngotot bangun IKN? ht\xe2\x80\xa6'
53;Negatif;"b'SAUDARAKU SEBANGSA DAN SETANAH AIR \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\n\nPerhatikan dengan kesadaran sebagai MANUSIA WARAS \xe2\x9d\x97\n\n""IKN DI 2024 AKAN DI\xe2\x80\xa6 https://t.co/CzU433Xc1H'"
54;Positif;b'Dukung IKN Akan Meningkatkan Ekonomi #KotaDuniaUntukSemua Bengkulu mendukung'
55;Positif;b'Dukung IKN Nusantara mendorong perekonomian #KotaDuniaUntukSemua Bengkulu mendukung'
56;Negatif;"b""RT @yaniarsim: Setelah Obral Investasi IKN HGB 160 Thn Bebas Pajak 30 Thn, Disc  350 %.\nKini Ada 13 Pajak Khusus Untuk Danai IKN...\nKere' K\xe2\x80\xa6"""
57;Positif;b'Keran !! Presiden Jokowi luncurkan Metaverse IKN Nusantara\n#IbukotaNegara\n#IKN\n#SemangatNusantara https://t.co/EuAzrR9Jcq'
58;Positif;b'Keran !! Presiden Jokowi luncurkan Metaverse IKN Nusantara\n#IbukotaNegara\n#IKN\n#SemangatNusantara https://t.co/8qUE3xUtII'
59;Positif;b'Keran !! Presiden Jokowi luncurkan Metaverse IKN Nusantara\n#IbukotaNegara\n#IKN\n#SemangatNusantara https://t.co/2C3PKvRcSx'
60;Positif;b'Keran !! Presiden Jokowi luncurkan Metaverse IKN Nusantara\n#IbukotaNegara\n#IKN\n#SemangatNusantara https://t.co/x7ES0BWJvb'
61;Positif;b'Keran !! Presiden Jokowi luncurkan Metaverse IKN Nusantara\n#IbukotaNegara\n#IKN\n#SemangatNusantara https://t.co/VgPnNN5a8B'
62;Positif;b'Keran !! Presiden Jokowi luncurkan Metaverse IKN Nusantara\n#IbukotaNegara\n#IKN\n#SemangatNusantara https://t.co/yFv1f1wlA0'
63;Negatif;b'RT @SasmojoN: @OposisiCerdas Saking nggak lakunya IKN.\nMending program transmigrasi jaman dulu.'
64;Positif;b'Keran !! Presiden Jokowi luncurkan Metaverse IKN Nusantara\n#IbukotaNegara\n#IKN\n#SemangatNusantara https://t.co/wHdIRQpUuk'
65;Positif;b'Keran !! Presiden Jokowi luncurkan Metaverse IKN Nusantara\n#IbukotaNegara\n#IKN\n#SemangatNusantara https://t.co/XB80TEK1rS'
66;Positif;b'RT @AlshaibaShihab: Indonesia ditangan Presiden Jokowi :\n\n65 bendungan \n36 ruas jalan tol\n15 bandara baru\nSirkuit Mandalika\nKereta api cepa\xe2\x80\xa6'
67;Positif;b'Keran !! Presiden Jokowi luncurkan Metaverse IKN Nusantara\n#IbukotaNegara\n#IKN\n#SemangatNusantara https://t.co/GkBuhurYOq'
68;Positif;b'Keran !! Presiden Jokowi luncurkan Metaverse IKN Nusantara\n#IbukotaNegara\n#IKN\n#SemangatNusantara https://t.co/DKWZF20HBD'
69;Positif;b'RT @Kiyai_MarufAmin: Pada kesempatan ini, saya mengajak Dubai Holding untuk menanamkan investasi pada sejumlah sektor di Indonesia. Mulai d\xe2\x80\xa6'
70;Negatif;b'RT @Nhahwa1: @OposisiCerdas Masih saja yg dipikirkan IKN ...padahal masyarakat kelas menengah ke bawag sedang menjerit akibat dampak kenaik\xe2\x80\xa6'
71;Positif;b'@yaniarsim @aniesbaswedan \xf0\x9f\x98\x80 ya bakal GAGAL kayak DKI jika TIDAK MAU TERUSKAN HAL MAJU dari R1 sebelumnya. Tidak bis\xe2\x80\xa6 https://t.co/F1X920Wqfv'
72;Positif;"b""Ma'ruf sebut RI punya visi sebagai pusat industri halal\xc2\xa0 https://t.co/fntyg3QR7j"""
73;Positif;b'RT @solid_bergerak7: Di tangan Pak @ganjarpranowo nti, landasan Indonesia baru Pak @jokowi lewat IKN dpt disempurnakan. Jika Presiden lain\xe2\x80\xa6'
74;Positif;b'RT @HendryanaLubis: @s1lverpegasus Dia pasti mendukung sapa yg bisa lanjutkan ikn yg dia idaman\n\n#Semangat114TurunkanJokowi \n#Semangat411Tu\xe2\x80\xa6'
75;Negatif;b'RT @RagilSemar: Diawali dari konsep pendanaan IKN yang menjadikan pemerintah sebagai penyewa di sana. \nTentu ini akal2an oligarki.\nOligarki\xe2\x80\xa6'
76;Negatif;b'@Paltiwest Negeri yang mana? Cepat2 Pemilu terus yang menang bukan jagoannya, terus Ibu Kota Negara pindah ke IKN,\xe2\x80\xa6 https://t.co/z1UcELQmiN'
77;Negatif;b'Selama ini merasa sebagai penguasa yang paling berkuasa seringkali enggan menerima masukan, saran dan nasihat dari\xe2\x80\xa6 https://t.co/hfI2S5WFUj'
78;Negatif;b'@bro_aLy9 Invest di twiter jelas untung....ikn sama ja dgn asemka'
79;Positif;b'Membuka lapangan kerja baru, masyarakat Aceh mendukung IKN Nusantara\n\xe2\x9d\xa4\xef\xb8\x8f Aceh Hadir Mendukung\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/PEe9NMRErS'
80;Positif;b'@Joane24641240 Membuka lapangan kerja baru, masyarakat Aceh mendukung IKN Nusantara\n\xe2\x9d\xa4\xef\xb8\x8f Aceh Hadir Mendukung\xe2\x80\xa6 https://t.co/sGYqlWMpOt'
81;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
82;Positif;b'Indra Karya Garap Proyek Infrastruktur Dasar di IKN Nusantara https://t.co/JacoK7Dl1B'
83;Positif;b'Pembangunan IKN Nusantara akan menjadi wajah baru Indonesia di mata dunia.\n\xe2\x9d\xa4\xef\xb8\x8fAceh Hadir Mendukung\xe2\x80\xa6 https://t.co/uvAeEiqJC1'
84;Positif;b'@Joane24641240 Pembangunan IKN Nusantara akan menjadi wajah baru Indonesia di mata dunia.\n\xe2\x9d\xa4\xef\xb8\x8fAceh Hadir Mendukung\xe2\x80\xa6 https://t.co/ad3ZW6neEK'
85;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
86;Positif;b'RT @AlshaibaShihab: Indonesia ditangan Presiden Jokowi :\n\n65 bendungan \n36 ruas jalan tol\n15 bandara baru\nSirkuit Mandalika\nKereta api cepa\xe2\x80\xa6'
87;Positif;b'RT @PTPP_ID: #uPPdate dari Balikpapan (2/11), PTPP menandatangani dua kontrak pekerjaan di IKN \xe2\x9c\xa8\xef\xb8\x8f\n\nDua kontrak tersebut adalah Pembangunan\xe2\x80\xa6'
88;Negatif;b'RT @03__nakula: Eropa nangis liat Batu Bara dijadikan dinding pembatas jalan di IKN. \xf0\x9f\x98\x82'
89;Negatif;b'@txtdrpemerintah Pemerintah lebih pilih bangun IKN dibanding bangun pendidikan'
90;Negatif;"b'RT @t0n1h3r5_83: INGATLAH PARPOL2 YG MENYETUJUI &amp; MENGESYAHKAN IKN . \n\nJANGAN PILIH &amp; TENGGELAMKAN \xe2\x80\xbc\xef\xb8\x8f \n\n#Semangat411TurunkanJokowi \n#Semang\xe2\x80\xa6'"
91;Negatif;"b'RT @t0n1h3r5_83: INGATLAH PARPOL2 YG MENYETUJUI &amp; MENGESYAHKAN IKN . \n\nJANGAN PILIH &amp; TENGGELAMKAN \xe2\x80\xbc\xef\xb8\x8f \n\n#Semangat411TurunkanJokowi \n#Semang\xe2\x80\xa6'"
92;Negatif;b'@msaid_didu Udah.....bangun cepetan.\nASN di Departemen2 cepetan suruh pindah.\nGw proyeksikan akan muncul keributan2\xe2\x80\xa6 https://t.co/QECmu6180j'
93;Negatif;b'@geloraco Ayo tambah lagi apbn untuk IKN, kereta cepat dan mobil listrik.\n\nGa masalah $ 25 ribu ya, presidennya JEN\xe2\x80\xa6 https://t.co/HHGQ4ncFwg'
94;Negatif;b'RT @keuangannews_id: IKN- Presiden Sudah Berada di Jalan Buntu! https://t.co/gejEF0zanh'
95;Negatif;b'IKN- Presiden Sudah Berada di Jalan Buntu! https://t.co/gejEF0zanh'
96;Negatif;b'RT @YogaswaraWahyu: Pak @jokowi proyek IKN itu di batalkan saja, sy sebagai rakyat punya ide. Bagaimana jika di bangun penjara khusus disan\xe2\x80\xa6'
97;Negatif;b'@airkami_id Gak lama lagi penduduk Jakarta berkurang, pindang ke IKN'
98;Negatif;b'RT @guzel_amare: ya iyalah ... twitter mah sudah kliatan , nah IKN visi misi nya saja investor blm tahu ... mau bp sbg markreting pun , klo\xe2\x80\xa6'
99;Positif;b'@detikcom Kalau sdh ada transmigrasi ke IKN, akan seramai apa Jakarta, mungkin setelah 2024.?'
100;Positif;b'RT @AlshaibaShihab: Indonesia ditangan Presiden Jokowi :\n\n65 bendungan \n36 ruas jalan tol\n15 bandara baru\nSirkuit Mandalika\nKereta api cepa\xe2\x80\xa6'
101;Positif;b'RT @Nien1708: Terkait pembangunan Ibu Kota Negara Nusantara di Provinsi Kalimantan Timur, Indonesia terus menjalin kerja sama dengan banyak\xe2\x80\xa6'
102;Positif;b'RT @G1_N0ng: Siapa di sini yang sering update progres pembangunan Ibu Kota Negara (IKN) Nusantara di Kalimantan Timur?\n\nBerikut ini kita ak\xe2\x80\xa6'
103;Negatif;b'RT @Kimi58486332: IKN lebih penting dari entaskan Kemiskinan mas Joko @jokowi  ? Menggenaskan masse https://t.co/X6quciisrJ'
104;Negatif;b'RT @RagilSemar: Diawali dari konsep pendanaan IKN yang menjadikan pemerintah sebagai penyewa di sana. \nTentu ini akal2an oligarki.\nOligarki\xe2\x80\xa6'
105;Negatif;b'@the_schloss @SantorinisSun @StefanAntonio__ @Out_Of_The_Bay GUOBLOKKK.\n\nIKN dan KCIC dan pembangunan sekitarnya,\xe2\x80\xa6 https://t.co/umnvq8Tvx4'
106;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
107;Positif;b'Lampung percaya IKN akan membawa perubahan di Indonesia\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/zPpvfhcXX1'
108;Positif;b'Masyarakat Lampung siap mengawal Pembangunan IKN untuk Kemajuan Indonesia\n\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/cLFT5c2Z8Y'
109;Positif;b'Pemindahan IKN Ke Kalimantan akan menjadi sejarah baru tersendiri, Ayo warga Lampung kita dukung Pembangunan IKN\xe2\x80\xa6 https://t.co/9weW0ckGMb'
110;Positif;b'Lampung percaya Banyak Keuntungan dan Banyak berkah yang kita peroleh dari perpindahan IKN\n\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/OIN4Xzsl9I'
111;Positif;b'Masyarakat Lampung Mendukung Kebijakan Pembangunan IKN\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/1JB0PQuetE'
112;Negatif;b'@topan_solawase @Sirqieee @OposisiCerdas @mahfud Sapa yg diuntungkan,sapa yg dirugikan mayan tambah2 dana ikn....!!!!'
113;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
114;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
115;Positif;b'RT @AlshaibaShihab: Indonesia ditangan Presiden Jokowi :\n\n65 bendungan \n36 ruas jalan tol\n15 bandara baru\nSirkuit Mandalika\nKereta api cepa\xe2\x80\xa6'
116;Positif;b'Lampung percaya IKN akan membawa perubahan di Indonesia\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/5DlP4Q8vWm'
117;Positif;b'Masyarakat Lampung siap mengawal Pembangunan IKN untuk Kemajuan Indonesia\n\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/fgvn4JPfuK'
118;Positif;b'Pemindahan IKN Ke Kalimantan akan menjadi sejarah baru tersendiri, Ayo warga Lampung kita dukung Pembangunan IKN\xe2\x80\xa6 https://t.co/NrG5wADARU'
119;Positif;b'Lampung percaya Banyak Keuntungan dan Banyak berkah yang kita peroleh dari perpindahan IKN\n\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/1Ajg9cTP0A'
120;Positif;b'Masyarakat Lampung Mendukung Kebijakan Pembangunan IKN\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/gZ3VKDKint'
121;Positif;b'Lampung percaya IKN akan membawa perubahan di Indonesia\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/kVegXG4lqy'
122;Positif;b'Masyarakat Lampung siap mengawal Pembangunan IKN untuk Kemajuan Indonesia\n\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/0hYPSkUzOn'
123;Positif;b'Pemindahan IKN Ke Kalimantan akan menjadi sejarah baru tersendiri, Ayo warga Lampung kita dukung Pembangunan IKN\xe2\x80\xa6 https://t.co/JxQBQ7hXbJ'
124;Positif;b'Lampung percaya Banyak Keuntungan dan Banyak berkah yang kita peroleh dari perpindahan IKN\n\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/EwtR1XH74n'
125;Positif;b'Masyarakat Lampung Mendukung Kebijakan Pembangunan IKN\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/gkYkAjLJJe'
126;Positif;b'Lampung percaya IKN akan membawa perubahan di Indonesia\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/uculky1WNn'
127;Positif;b'Masyarakat Lampung siap mengawal Pembangunan IKN untuk Kemajuan Indonesia\n\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/ziBIz2rWlx'
128;Positif;b'Pemindahan IKN Ke Kalimantan akan menjadi sejarah baru tersendiri, Ayo warga Lampung kita dukung Pembangunan IKN\xe2\x80\xa6 https://t.co/D0IfZZNAHM'
129;Positif;b'Lampung percaya Banyak Keuntungan dan Banyak berkah yang kita peroleh dari perpindahan IKN\n\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/VZKF2sLryp'
130;Negatif;b'@ikur12_iwan @msaid_didu Ubah dulu UU nya, dari dulu jauh sebelum Jkw juga pembagian hasil SDA timpang antara Kalim\xe2\x80\xa6 https://t.co/wgC90S5OKP'
131;Positif;b'Masyarakat Lampung Mendukung Kebijakan Pembangunan IKN\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/AAtYOfWUp1'
132;Positif;b'Lampung percaya IKN akan membawa perubahan di Indonesia\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/DEakmInHhr'
133;Negatif;"b'RT @t0n1h3r5_83: INGATLAH PARPOL2 YG MENYETUJUI &amp; MENGESYAHKAN IKN . \n\nJANGAN PILIH &amp; TENGGELAMKAN \xe2\x80\xbc\xef\xb8\x8f \n\n#Semangat411TurunkanJokowi \n#Semang\xe2\x80\xa6'"
134;Positif;b'Masyarakat Lampung siap mengawal Pembangunan IKN untuk Kemajuan Indonesia\n\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/Q4mKRSqnQr'
135;Positif;b'Pemindahan IKN Ke Kalimantan akan menjadi sejarah baru tersendiri, Ayo warga Lampung kita dukung Pembangunan IKN\xe2\x80\xa6 https://t.co/jIWjZzU9xF'
136;Positif;b'Lampung percaya Banyak Keuntungan dan Banyak berkah yang kita peroleh dari perpindahan IKN\n\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/jh38kJiy9Z'
137;Positif;b'RT @retnosetyow4t: Pemerintah mulai menyusun rencana pengembangan infrastruktur bagi penduduk di Ibu Kota Nusantara (IKN). Dalam keterangan\xe2\x80\xa6'
138;Positif;b'Masyarakat Lampung Mendukung Kebijakan Pembangunan IKN\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/trHPbd5LmN'
139;Positif;b'Lampung percaya IKN akan membawa perubahan di Indonesia\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/wMmpsW7Zwp'
140;Negatif;"b'@msaid_didu Kalo ndak mau semakin kekurangan &amp; tak rela uangnya dipakai utk bayar utang negara &amp; bangun IKN ya BERH\xe2\x80\xa6 https://t.co/qXJ3uT6EZE'"
141;Positif;b'Masyarakat Lampung siap mengawal Pembangunan IKN untuk Kemajuan Indonesia\n\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/tRbYc1umDL'
142;Positif;b'Pemindahan IKN Ke Kalimantan akan menjadi sejarah baru tersendiri, Ayo warga Lampung kita dukung Pembangunan IKN\xe2\x80\xa6 https://t.co/ynYUlvwVrK'
143;Positif;b'Lampung percaya Banyak Keuntungan dan Banyak berkah yang kita peroleh dari perpindahan IKN\n\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/aaQXfMdnbC'
144;Positif;b'Masyarakat Lampung Mendukung Kebijakan Pembangunan IKN\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/e5kyY496Kh'
145;Negatif;"b""@prasmawon12 @KingCabbage12 @HukumDan @BowoEndarto @YaqutCQoumas @YaqutQoumas Yg bodoh itu orang2 kaya' loe itu,.yg\xe2\x80\xa6 https://t.co/qQc3gCK5HL"""
146;Positif;b'Wapres Tawarkan Investasi di IKN Nusantara ke Petinggi Dubai Holding\nhttps://t.co/jUGs1QFYHi'
147;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
148;Negatif;b'@fransiskusjurin Ikn durian.. Kompom'
149;Positif;b'Wapres Ma\xe2\x80\x99ruf Amin Ajak Dubai Holding Berinvestasi di\xc2\xa0IKN https://t.co/S7xGXKumRO'
150;Positif;b'Kadin Indonesia berharap agar Badan Otorita IKN menyiapkan detail dan rencana paket investasi\nArsjad Rasjid #b20\xe2\x80\xa6 https://t.co/s2jpRLgTa6'
